site,direction,meter_start,meter_end,profilometer_width_cm,pin_profile_length_cm,max_pin_height_cm,min_pin_height_cm,notes
TNC-02,T2,19,20,92.745,110.536,25.026,17.362,
TNC-02,T2,24,25,94.735,107.331,30.53,22.67,
TNC-02,T2,29,30,92.544,114.895,26.069,18.471,
TNC-02,T3,9,10,90.245,102.232,27.74,19.847,
TNC-02,T3,14,15,91.702,148.767,31.009,18.466,
TNC-02,T3,19,20,88.521,108.264,27.706,18.482,
TNC-02,T3,24,25,91.2,114.131,26.767,20.85,
TNC-02,T3,29,30,90.285,104.629,26.784,16.018,
NPDC-02,T1,9,10,,,,,Too wet and too much litter to complete T1
NPDC-02,T1,14,15,,,,,
NPDC-02,T1,19,20,,,,,
NPDC-02,T1,24,25,,,,,
NPDC-02,T1,29,30,,,,,
NPDC-02,T2,9,10,92.577,120.027,24.723,15.938,
NPDC-02,T2,14,15,91.381,101.519,23.956,19.099,
NPDC-02,T2,19,20,88.941,99.175,20.124,16.735,
NPDC-02,T2,24,25,93.503,105.083,21.905,18.799,
NPDC-02,T2,29,30,92.422,109.579,21.757,16.941,
NPDC-02,T3,9,10,90.919,163.711,30.845,15.108,
NPDC-02,T3,14,15,91.039,105.511,25.311,20.348,
NPDC-02,T3,19,20,89.959,101.985,22.161,16.521,
NPDC-02,T3,24,25,93.12,111.333,25.688,19.304,
NPDC-02,T3,29,30,93.555,110.2,26.291,20.887,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
